0_0: A_granulata|evm.model.Super-Scaffold_100002.117_1
1_250: B_glabrata|XP_013093140.1
1_251: B_glabrata|XP_013093186.1
1_252: B_glabrata|XP_013093212.1
1_253: B_glabrata|XP_013093286.1
1_254: B_glabrata|XP_013093295.1
1_255: B_glabrata|XP_013093447.1
1_256: B_glabrata|XP_013093534.1
1_257: B_glabrata|XP_013093829.1
1_258: B_glabrata|XP_013093930.1
1_259: B_glabrata|XP_013094255.1
1_260: B_glabrata|XP_013094513.1
1_261: B_glabrata|XP_013094572.1
1_262: B_glabrata|XP_013095252.1
1_263: B_glabrata|XP_013095595.1
1_264: B_glabrata|XP_013095633.1
1_265: B_glabrata|XP_013095634.1
1_266: B_glabrata|XP_013095635.1
1_267: B_glabrata|XP_013095637.1
1_268: B_glabrata|XP_013095639.1
1_269: B_glabrata|XP_013095830.1
1_270: B_glabrata|XP_013096201.1
1_271: B_glabrata|XP_013096365.1
1_272: B_glabrata|XP_013096443.1
1_273: B_glabrata|XP_013096743.1
1_274: B_glabrata|XP_013096891.1
1_275: B_glabrata|XP_013063618.1
1_276: B_glabrata|XP_013068835.1
1_277: B_glabrata|XP_013073864.1
1_278: B_glabrata|XP_013075772.1
1_279: B_glabrata|XP_013079326.1
1_280: B_glabrata|XP_013080183.1
1_281: B_glabrata|XP_013081957.1
1_282: B_glabrata|XP_013082062.1
1_283: B_glabrata|XP_013082066.1
1_284: B_glabrata|XP_013085966.1
1_285: B_glabrata|XP_013086911.1
1_286: B_glabrata|XP_013090876.1
1_287: B_glabrata|XP_013093880.1
1_288: B_glabrata|XP_013094229.1
1_289: B_glabrata|XP_013062473.1
1_290: B_glabrata|XP_013063268.1
1_291: B_glabrata|XP_013063303.1
1_292: B_glabrata|XP_013064161.1
1_293: B_glabrata|XP_013071348.1
1_294: B_glabrata|XP_013074409.1
1_295: B_glabrata|XP_013076273.1
1_296: B_glabrata|XP_013080003.1
1_297: B_glabrata|XP_013082520.1
1_298: B_glabrata|XP_013091514.1
1_299: B_glabrata|XP_013093678.1
1_300: B_glabrata|XP_013094576.1
1_301: B_glabrata|XP_013076722.1
1_302: B_glabrata|XP_013076970.1
1_303: B_glabrata|XP_013077189.1
1_304: B_glabrata|XP_013090484.1
1_305: B_glabrata|XP_013092586.1
1_306: B_glabrata|XP_013062374.1
1_307: B_glabrata|XP_013068639.1
1_308: B_glabrata|XP_013068640.1
1_309: B_glabrata|XP_013078245.1
1_310: B_glabrata|XP_013080662.1
1_311: B_glabrata|XP_013080962.1
1_312: B_glabrata|XP_013086580.1
1_313: B_glabrata|XP_013086582.1
1_314: B_glabrata|XP_013089408.1
1_315: B_glabrata|XP_013090966.1
1_316: B_glabrata|XP_013090968.1
1_317: B_glabrata|XP_013091907.1
1_318: B_glabrata|XP_013092990.1
1_319: B_glabrata|XP_013093196.1
1_320: B_glabrata|XP_013093671.1
1_321: B_glabrata|XP_013094005.1
1_322: B_glabrata|XP_013096412.1
1_323: B_glabrata|XP_013062034.1
1_324: B_glabrata|XP_013062035.1
1_325: B_glabrata|XP_013065857.1
1_326: B_glabrata|XP_013065863.1
1_327: B_glabrata|XP_013065892.1
1_328: B_glabrata|XP_013065893.1
1_329: B_glabrata|XP_013065895.1
1_330: B_glabrata|XP_013077200.1
1_331: B_glabrata|XP_013077202.1
1_332: B_glabrata|XP_013078946.1
1_333: B_glabrata|XP_013079385.1
1_334: B_glabrata|XP_013079394.1
1_335: B_glabrata|XP_013080598.1
1_336: B_glabrata|XP_013080599.1
1_337: B_glabrata|XP_013083785.1
1_338: B_glabrata|XP_013093165.1
1_339: B_glabrata|XP_013063444.1
1_340: B_glabrata|XP_013072245.1
1_341: B_glabrata|XP_013083944.1
1_342: B_glabrata|XP_013085161.1
1_343: B_glabrata|XP_013063795.1
1_344: B_glabrata|XP_013079560.1
1_345: B_glabrata|XP_013082920.1
2_0: C_virginica|XP_022322019.1
2_1: C_virginica|XP_022319000.1
2_2: C_virginica|XP_022316668.1
2_3: C_virginica|XP_022344839.1
2_4: C_virginica|XP_022341852.1
2_5: C_virginica|XP_022321873.1
2_6: C_virginica|XP_022344457.1
2_7: C_virginica|XP_022308357.1
2_8: C_virginica|XP_022328400.1
2_9: C_virginica|XP_022338696.1
2_10: C_virginica|XP_022343803.1
2_11: C_virginica|XP_022343845.1
2_12: C_virginica|XP_022313863.1
2_13: C_virginica|XP_022314684.1
2_14: C_virginica|XP_022316489.1
2_15: C_virginica|XP_022314870.1
2_16: C_virginica|XP_022309414.1
2_17: C_virginica|XP_022332522.1
2_18: C_virginica|XP_022301526.1
2_19: C_virginica|XP_022300046.1
2_20: C_virginica|XP_022322855.1
2_21: C_virginica|XP_022334366.1
2_22: C_virginica|XP_022317065.1
2_23: C_virginica|XP_022325540.1
2_24: C_virginica|XP_022340848.1
2_25: C_virginica|XP_022333984.1
2_26: C_virginica|XP_022330767.1
2_27: C_virginica|XP_022333004.1
2_28: C_virginica|XP_022340056.1
2_29: C_virginica|XP_022343998.1
2_30: C_virginica|XP_022345957.1
2_31: C_virginica|XP_022286161.1
2_32: C_virginica|XP_022343743.1
2_33: C_virginica|XP_022345421.1
2_34: C_virginica|XP_022329200.1
2_35: C_virginica|XP_022288607.1
2_36: C_virginica|XP_022317557.1
2_37: C_virginica|XP_022295132.1
2_38: C_virginica|XP_022316787.1
2_39: C_virginica|XP_022296668.1
2_40: C_virginica|XP_022298945.1
2_41: C_virginica|XP_022313813.1
2_42: C_virginica|XP_022320821.1
2_43: C_virginica|XP_022340992.1
2_44: C_virginica|XP_022332899.1
2_45: C_virginica|XP_022321982.1
2_46: C_virginica|XP_022341053.1
2_47: C_virginica|XP_022322535.1
2_48: C_virginica|XP_022333852.1
2_49: C_virginica|XP_022286215.1
2_50: C_virginica|XP_022286290.1
2_51: C_virginica|XP_022288661.1
2_52: C_virginica|XP_022288786.1
2_53: C_virginica|XP_022292436.1
2_54: C_virginica|XP_022303815.1
2_55: C_virginica|XP_022307614.1
2_56: C_virginica|XP_022310567.1
2_57: C_virginica|XP_022321617.1
2_58: C_virginica|XP_022322241.1
2_59: C_virginica|XP_022324649.1
2_60: C_virginica|XP_022333501.1
2_61: C_virginica|XP_022333877.1
2_62: C_virginica|XP_022334317.1
2_63: C_virginica|XP_022335876.1
2_64: C_virginica|XP_022341419.1
2_65: C_virginica|XP_022343574.1
2_66: C_virginica|YP_254660.1
2_67: C_virginica|XP_022287104.1
2_68: C_virginica|XP_022287107.1
2_69: C_virginica|XP_022289652.1
2_70: C_virginica|XP_022290415.1
2_71: C_virginica|XP_022290497.1
2_72: C_virginica|XP_022290814.1
2_73: C_virginica|XP_022290815.1
2_74: C_virginica|XP_022291127.1
2_75: C_virginica|XP_022292929.1
2_76: C_virginica|XP_022293075.1
2_77: C_virginica|XP_022293077.1
2_78: C_virginica|XP_022293080.1
2_79: C_virginica|XP_022293349.1
2_80: C_virginica|XP_022293350.1
2_81: C_virginica|XP_022293573.1
2_82: C_virginica|XP_022293578.1
2_83: C_virginica|XP_022294154.1
2_84: C_virginica|XP_022294207.1
2_85: C_virginica|XP_022294432.1
2_86: C_virginica|XP_022294646.1
2_87: C_virginica|XP_022294732.1
2_88: C_virginica|XP_022294733.1
2_89: C_virginica|XP_022294739.1
2_90: C_virginica|XP_022294740.1
2_91: C_virginica|XP_022294741.1
2_92: C_virginica|XP_022294750.1
2_93: C_virginica|XP_022295028.1
2_94: C_virginica|XP_022295064.1
2_95: C_virginica|XP_022295073.1
2_96: C_virginica|XP_022295699.1
2_97: C_virginica|XP_022295727.1
2_98: C_virginica|XP_022295728.1
2_99: C_virginica|XP_022296188.1
2_100: C_virginica|XP_022296221.1
2_101: C_virginica|XP_022297397.1
2_102: C_virginica|XP_022299379.1
2_103: C_virginica|XP_022299926.1
2_104: C_virginica|XP_022300762.1
2_105: C_virginica|XP_022301452.1
2_106: C_virginica|XP_022304396.1
2_107: C_virginica|XP_022305689.1
2_108: C_virginica|XP_022309038.1
2_109: C_virginica|XP_022309521.1
2_110: C_virginica|XP_022310239.1
2_111: C_virginica|XP_022310240.1
2_112: C_virginica|XP_022310854.1
2_113: C_virginica|XP_022310856.1
2_114: C_virginica|XP_022328732.1
2_115: C_virginica|XP_022328733.1
2_116: C_virginica|XP_022330423.1
2_117: C_virginica|XP_022330926.1
2_118: C_virginica|XP_022330927.1
2_119: C_virginica|XP_022330928.1
2_120: C_virginica|XP_022331274.1
2_121: C_virginica|XP_022332278.1
2_122: C_virginica|XP_022333686.1
2_123: C_virginica|XP_022333687.1
2_124: C_virginica|XP_022333990.1
2_125: C_virginica|XP_022333991.1
2_126: C_virginica|XP_022335114.1
2_127: C_virginica|XP_022335146.1
2_128: C_virginica|XP_022335781.1
2_129: C_virginica|XP_022337452.1
2_130: C_virginica|XP_022337605.1
2_131: C_virginica|XP_022339384.1
2_132: C_virginica|XP_022339391.1
2_133: C_virginica|XP_022343542.1
2_134: C_virginica|XP_022343659.1
2_135: C_virginica|XP_022344015.1
2_136: C_virginica|XP_022344065.1
2_137: C_virginica|XP_022345326.1
2_138: C_virginica|XP_022320371.1
2_139: C_virginica|XP_022286479.1
2_140: C_virginica|XP_022286717.1
2_141: C_virginica|XP_022287415.1
2_142: C_virginica|XP_022287464.1
2_143: C_virginica|XP_022288574.1
2_144: C_virginica|XP_022288791.1
2_145: C_virginica|XP_022289418.1
2_146: C_virginica|XP_022289447.1
2_147: C_virginica|XP_022289654.1
2_148: C_virginica|XP_022289706.1
2_149: C_virginica|XP_022289715.1
2_150: C_virginica|XP_022289727.1
2_151: C_virginica|XP_022289935.1
2_152: C_virginica|XP_022289938.1
2_153: C_virginica|XP_022289949.1
2_154: C_virginica|XP_022289967.1
2_155: C_virginica|XP_022290176.1
2_156: C_virginica|XP_022290289.1
2_157: C_virginica|XP_022290581.1
2_158: C_virginica|XP_022290620.1
2_159: C_virginica|XP_022290649.1
2_160: C_virginica|XP_022292876.1
2_161: C_virginica|XP_022294925.1
2_162: C_virginica|XP_022297668.1
2_163: C_virginica|XP_022300903.1
2_164: C_virginica|XP_022301088.1
2_165: C_virginica|XP_022303050.1
2_166: C_virginica|XP_022303340.1
2_167: C_virginica|XP_022303344.1
2_168: C_virginica|XP_022303346.1
2_169: C_virginica|XP_022303356.1
2_170: C_virginica|XP_022303357.1
2_171: C_virginica|XP_022303399.1
2_172: C_virginica|XP_022303488.1
2_173: C_virginica|XP_022303537.1
2_174: C_virginica|XP_022303548.1
2_175: C_virginica|XP_022303550.1
2_176: C_virginica|XP_022303619.1
2_177: C_virginica|XP_022303685.1
2_178: C_virginica|XP_022304173.1
2_179: C_virginica|XP_022304174.1
2_180: C_virginica|XP_022304367.1
2_181: C_virginica|XP_022304589.1
2_182: C_virginica|XP_022304591.1
2_183: C_virginica|XP_022304592.1
2_184: C_virginica|XP_022304600.1
2_185: C_virginica|XP_022304875.1
2_186: C_virginica|XP_022304878.1
2_187: C_virginica|XP_022304882.1
2_188: C_virginica|XP_022304886.1
2_189: C_virginica|XP_022304915.1
2_190: C_virginica|XP_022304917.1
2_191: C_virginica|XP_022305030.1
2_192: C_virginica|XP_022305080.1
2_193: C_virginica|XP_022305088.1
2_194: C_virginica|XP_022305270.1
2_195: C_virginica|XP_022305382.1
2_196: C_virginica|XP_022305385.1
2_197: C_virginica|XP_022305386.1
2_198: C_virginica|XP_022305387.1
2_199: C_virginica|XP_022305395.1
2_200: C_virginica|XP_022305396.1
2_201: C_virginica|XP_022305399.1
2_202: C_virginica|XP_022305401.1
2_203: C_virginica|XP_022305402.1
2_204: C_virginica|XP_022305518.1
2_205: C_virginica|XP_022305729.1
2_206: C_virginica|XP_022305732.1
2_207: C_virginica|XP_022305735.1
2_208: C_virginica|XP_022305737.1
2_209: C_virginica|XP_022305738.1
2_210: C_virginica|XP_022305741.1
2_211: C_virginica|XP_022305742.1
2_212: C_virginica|XP_022305748.1
2_213: C_virginica|XP_022305752.1
2_214: C_virginica|XP_022305756.1
2_215: C_virginica|XP_022305757.1
2_216: C_virginica|XP_022305760.1
2_217: C_virginica|XP_022306155.1
2_218: C_virginica|XP_022306229.1
2_219: C_virginica|XP_022306484.1
2_220: C_virginica|XP_022306485.1
2_221: C_virginica|XP_022306488.1
2_222: C_virginica|XP_022306742.1
2_223: C_virginica|XP_022306746.1
2_224: C_virginica|XP_022306748.1
2_225: C_virginica|XP_022306863.1
2_226: C_virginica|XP_022306864.1
2_227: C_virginica|XP_022306937.1
2_228: C_virginica|XP_022306955.1
2_229: C_virginica|XP_022306978.1
2_230: C_virginica|XP_022306990.1
2_231: C_virginica|XP_022306996.1
2_232: C_virginica|XP_022307015.1
2_233: C_virginica|XP_022307060.1
2_234: C_virginica|XP_022307062.1
2_235: C_virginica|XP_022307370.1
2_236: C_virginica|XP_022307426.1
2_237: C_virginica|XP_022307677.1
2_238: C_virginica|XP_022307682.1
2_239: C_virginica|XP_022307702.1
2_240: C_virginica|XP_022307722.1
2_241: C_virginica|XP_022307726.1
2_242: C_virginica|XP_022307728.1
2_243: C_virginica|XP_022307729.1
2_244: C_virginica|XP_022307732.1
2_245: C_virginica|XP_022307742.1
2_246: C_virginica|XP_022307748.1
2_247: C_virginica|XP_022307750.1
2_248: C_virginica|XP_022307756.1
2_249: C_virginica|XP_022307760.1
2_250: C_virginica|XP_022307761.1
2_251: C_virginica|XP_022307769.1
2_252: C_virginica|XP_022307793.1
2_253: C_virginica|XP_022307795.1
2_254: C_virginica|XP_022307818.1
2_255: C_virginica|XP_022307830.1
2_256: C_virginica|XP_022307835.1
2_257: C_virginica|XP_022307837.1
2_258: C_virginica|XP_022307839.1
2_259: C_virginica|XP_022307841.1
2_260: C_virginica|XP_022307844.1
2_261: C_virginica|XP_022307845.1
2_262: C_virginica|XP_022307862.1
2_263: C_virginica|XP_022307866.1
2_264: C_virginica|XP_022307870.1
2_265: C_virginica|XP_022307871.1
2_266: C_virginica|XP_022307874.1
2_267: C_virginica|XP_022307877.1
2_268: C_virginica|XP_022307879.1
2_269: C_virginica|XP_022307883.1
2_270: C_virginica|XP_022307884.1
2_271: C_virginica|XP_022307885.1
2_272: C_virginica|XP_022307962.1
2_273: C_virginica|XP_022308373.1
2_274: C_virginica|XP_022308423.1
2_275: C_virginica|XP_022308427.1
2_276: C_virginica|XP_022308432.1
2_277: C_virginica|XP_022308442.1
2_278: C_virginica|XP_022308515.1
2_279: C_virginica|XP_022309374.1
2_280: C_virginica|XP_022309506.1
2_281: C_virginica|XP_022309507.1
2_282: C_virginica|XP_022309512.1
2_283: C_virginica|XP_022309553.1
2_284: C_virginica|XP_022309653.1
2_285: C_virginica|XP_022309654.1
2_286: C_virginica|XP_022309655.1
2_287: C_virginica|XP_022309673.1
2_288: C_virginica|XP_022309674.1
2_289: C_virginica|XP_022309677.1
2_290: C_virginica|XP_022309678.1
2_291: C_virginica|XP_022309687.1
2_292: C_virginica|XP_022309842.1
2_293: C_virginica|XP_022309926.1
2_294: C_virginica|XP_022309955.1
2_295: C_virginica|XP_022310311.1
2_296: C_virginica|XP_022310709.1
2_297: C_virginica|XP_022310759.1
2_298: C_virginica|XP_022310878.1
2_299: C_virginica|XP_022310960.1
2_300: C_virginica|XP_022311693.1
2_301: C_virginica|XP_022311697.1
2_302: C_virginica|XP_022311843.1
2_303: C_virginica|XP_022311848.1
2_304: C_virginica|XP_022312694.1
2_305: C_virginica|XP_022326735.1
2_306: C_virginica|XP_022338718.1
2_307: C_virginica|XP_022286090.1
2_308: C_virginica|XP_022289925.1
2_309: C_virginica|XP_022291943.1
2_310: C_virginica|XP_022292027.1
2_311: C_virginica|XP_022307961.1
2_312: C_virginica|XP_022308431.1
2_313: C_virginica|XP_022309837.1
2_314: C_virginica|XP_022316903.1
2_315: C_virginica|XP_022319262.1
2_316: C_virginica|XP_022320319.1
2_317: C_virginica|XP_022320653.1
2_318: C_virginica|XP_022324615.1
2_319: C_virginica|XP_022326937.1
2_320: C_virginica|XP_022328330.1
2_321: C_virginica|XP_022340779.1
2_322: C_virginica|XP_022342129.1
2_323: C_virginica|XP_022328162.1
2_324: C_virginica|XP_022336556.1
2_325: C_virginica|XP_022286105.1
2_326: C_virginica|XP_022299766.1
2_327: C_virginica|XP_022308211.1
2_328: C_virginica|XP_022316864.1
2_329: C_virginica|XP_022335661.1
2_330: C_virginica|XP_022335688.1
2_331: C_virginica|XP_022336489.1
2_332: C_virginica|XP_022338373.1
2_333: C_virginica|XP_022338842.1
2_334: C_virginica|XP_022338900.1
2_335: C_virginica|XP_022338942.1
2_336: C_virginica|XP_022346077.1
2_337: C_virginica|XP_022305774.1
2_338: C_virginica|XP_022313105.1
2_339: C_virginica|XP_022325142.1
2_340: C_virginica|XP_022341159.1
2_341: C_virginica|XP_022303194.1
2_342: C_virginica|XP_022304147.1
2_343: C_virginica|XP_022304232.1
2_344: C_virginica|XP_022304272.1
2_345: C_virginica|XP_022304397.1
2_346: C_virginica|XP_022304465.1
2_347: C_virginica|XP_022304650.1
2_348: C_virginica|XP_022304826.1
2_349: C_virginica|XP_022304902.1
2_350: C_virginica|XP_022304926.1
2_351: C_virginica|XP_022305368.1
2_352: C_virginica|XP_022305369.1
2_353: C_virginica|XP_022305636.1
2_354: C_virginica|XP_022305639.1
2_355: C_virginica|XP_022305644.1
2_356: C_virginica|XP_022305646.1
2_357: C_virginica|XP_022305647.1
2_358: C_virginica|XP_022305648.1
2_359: C_virginica|XP_022305652.1
2_360: C_virginica|XP_022305656.1
2_361: C_virginica|XP_022305661.1
2_362: C_virginica|XP_022305671.1
2_363: C_virginica|XP_022305672.1
2_364: C_virginica|XP_022305675.1
2_365: C_virginica|XP_022305678.1
2_366: C_virginica|XP_022305679.1
2_367: C_virginica|XP_022306351.1
2_368: C_virginica|XP_022306357.1
2_369: C_virginica|XP_022306358.1
2_370: C_virginica|XP_022306359.1
2_371: C_virginica|XP_022306362.1
2_372: C_virginica|XP_022306364.1
2_373: C_virginica|XP_022306367.1
2_374: C_virginica|XP_022306369.1
2_375: C_virginica|XP_022306385.1
2_376: C_virginica|XP_022306463.1
2_377: C_virginica|XP_022306465.1
2_378: C_virginica|XP_022306466.1
2_379: C_virginica|XP_022306468.1
2_380: C_virginica|XP_022306472.1
2_381: C_virginica|XP_022306473.1
2_382: C_virginica|XP_022306474.1
2_383: C_virginica|XP_022306475.1
2_384: C_virginica|XP_022306479.1
2_385: C_virginica|XP_022306483.1
2_386: C_virginica|XP_022306710.1
2_387: C_virginica|XP_022307477.1
2_388: C_virginica|XP_022307478.1
2_389: C_virginica|XP_022307479.1
2_390: C_virginica|XP_022307480.1
2_391: C_virginica|XP_022307619.1
2_392: C_virginica|XP_022307622.1
2_393: C_virginica|XP_022307623.1
2_394: C_virginica|XP_022307624.1
2_395: C_virginica|XP_022307630.1
2_396: C_virginica|XP_022307631.1
2_397: C_virginica|XP_022307633.1
2_398: C_virginica|XP_022307634.1
2_399: C_virginica|XP_022309564.1
2_400: C_virginica|XP_022310056.1
2_401: C_virginica|XP_022310070.1
2_402: C_virginica|XP_022310242.1
2_403: C_virginica|XP_022310258.1
2_404: C_virginica|XP_022310797.1
2_405: C_virginica|XP_022310798.1
2_406: C_virginica|XP_022310804.1
2_407: C_virginica|XP_022311307.1
2_408: C_virginica|XP_022311308.1
2_409: C_virginica|XP_022311310.1
2_410: C_virginica|XP_022311311.1
2_411: C_virginica|XP_022311460.1
2_412: C_virginica|XP_022311480.1
2_413: C_virginica|XP_022311594.1
2_414: C_virginica|XP_022311708.1
2_415: C_virginica|XP_022311860.1
2_416: C_virginica|XP_022311861.1
2_417: C_virginica|XP_022311867.1
2_418: C_virginica|XP_022311877.1
2_419: C_virginica|XP_022311879.1
2_420: C_virginica|XP_022312370.1
2_421: C_virginica|XP_022312453.1
2_422: C_virginica|XP_022331776.1
2_423: C_virginica|XP_022334804.1
2_424: C_virginica|XP_022290500.1
2_425: C_virginica|XP_022304629.1
2_426: C_virginica|XP_022304635.1
2_427: C_virginica|XP_022304881.1
2_428: C_virginica|XP_022304883.1
2_429: C_virginica|XP_022304884.1
2_430: C_virginica|XP_022304885.1
2_431: C_virginica|XP_022304923.1
2_432: C_virginica|XP_022305137.1
2_433: C_virginica|XP_022305247.1
2_434: C_virginica|XP_022305249.1
2_435: C_virginica|XP_022305254.1
2_436: C_virginica|XP_022305255.1
2_437: C_virginica|XP_022305261.1
2_438: C_virginica|XP_022305262.1
2_439: C_virginica|XP_022305271.1
2_440: C_virginica|XP_022305289.1
2_441: C_virginica|XP_022305577.1
2_442: C_virginica|XP_022306410.1
2_443: C_virginica|XP_022306411.1
2_444: C_virginica|XP_022306413.1
2_445: C_virginica|XP_022306414.1
2_446: C_virginica|XP_022306636.1
2_447: C_virginica|XP_022306648.1
2_448: C_virginica|XP_022306764.1
2_449: C_virginica|XP_022306866.1
2_450: C_virginica|XP_022307315.1
2_451: C_virginica|XP_022307318.1
2_452: C_virginica|XP_022307320.1
2_453: C_virginica|XP_022307321.1
2_454: C_virginica|XP_022307322.1
2_455: C_virginica|XP_022307425.1
2_456: C_virginica|XP_022307434.1
2_457: C_virginica|XP_022307497.1
2_458: C_virginica|XP_022307498.1
2_459: C_virginica|XP_022307500.1
2_460: C_virginica|XP_022307501.1
2_461: C_virginica|XP_022307515.1
2_462: C_virginica|XP_022307592.1
2_463: C_virginica|XP_022307645.1
2_464: C_virginica|XP_022307668.1
2_465: C_virginica|XP_022307673.1
2_466: C_virginica|XP_022307674.1
2_467: C_virginica|XP_022307675.1
2_468: C_virginica|XP_022307676.1
2_469: C_virginica|XP_022307686.1
2_470: C_virginica|XP_022307753.1
2_471: C_virginica|XP_022307804.1
2_472: C_virginica|XP_022307869.1
2_473: C_virginica|XP_022308393.1
2_474: C_virginica|XP_022308398.1
2_475: C_virginica|XP_022308402.1
2_476: C_virginica|XP_022308406.1
2_477: C_virginica|XP_022308425.1
2_478: C_virginica|XP_022308498.1
2_479: C_virginica|XP_022308499.1
2_480: C_virginica|XP_022308548.1
2_481: C_virginica|XP_022308551.1
2_482: C_virginica|XP_022308759.1
2_483: C_virginica|XP_022308764.1
2_484: C_virginica|XP_022308847.1
2_485: C_virginica|XP_022308875.1
2_486: C_virginica|XP_022308881.1
2_487: C_virginica|XP_022308883.1
2_488: C_virginica|XP_022308884.1
2_489: C_virginica|XP_022308895.1
2_490: C_virginica|XP_022308897.1
2_491: C_virginica|XP_022308914.1
2_492: C_virginica|XP_022308920.1
2_493: C_virginica|XP_022308930.1
2_494: C_virginica|XP_022309624.1
2_495: C_virginica|XP_022309931.1
2_496: C_virginica|XP_022309934.1
2_497: C_virginica|XP_022310032.1
2_498: C_virginica|XP_022310034.1
2_499: C_virginica|XP_022310789.1
2_500: C_virginica|XP_022310792.1
2_501: C_virginica|XP_022310812.1
2_502: C_virginica|XP_022310813.1
2_503: C_virginica|XP_022311297.1
2_504: C_virginica|XP_022311298.1
2_505: C_virginica|XP_022293525.1
2_506: C_virginica|XP_022294752.1
2_507: C_virginica|XP_022308580.1
2_508: C_virginica|XP_022332689.1
2_509: C_virginica|XP_022334600.1
2_510: C_virginica|XP_022288802.1
2_511: C_virginica|XP_022292738.1
2_512: C_virginica|XP_022323062.1
2_513: C_virginica|XP_022338110.1
2_514: C_virginica|XP_022339402.1
2_515: C_virginica|XP_022339405.1
2_516: C_virginica|XP_022343020.1
2_517: C_virginica|XP_022344537.1
2_518: C_virginica|XP_022344538.1
2_519: C_virginica|XP_022344539.1
2_520: C_virginica|XP_022344548.1
2_521: C_virginica|XP_022344551.1
2_522: C_virginica|XP_022291061.1
2_523: C_virginica|XP_022302633.1
2_524: C_virginica|XP_022312847.1
2_525: C_virginica|XP_022312947.1
2_526: C_virginica|XP_022313091.1
2_527: C_virginica|XP_022313153.1
2_528: C_virginica|XP_022313389.1
2_529: C_virginica|XP_022314994.1
2_530: C_virginica|XP_022318187.1
2_531: C_virginica|XP_022337519.1
2_532: C_virginica|XP_022338983.1
2_533: C_virginica|XP_022300455.1
2_534: C_virginica|XP_022331975.1
2_535: C_virginica|XP_022331976.1
2_536: C_virginica|XP_022291094.1
2_537: C_virginica|XP_022291640.1
2_538: C_virginica|XP_022293003.1
2_539: C_virginica|XP_022304791.1
2_540: C_virginica|XP_022308078.1
2_541: C_virginica|XP_022317583.1
2_542: C_virginica|XP_022319163.1
2_543: C_virginica|XP_022320337.1
2_544: C_virginica|XP_022330434.1
2_545: C_virginica|XP_022342549.1
3_0: H_robusta|ESO00598.1
3_1: H_robusta|ESN91305.1
3_2: H_robusta|ESN91955.1
3_3: H_robusta|ESN95294.1
3_4: H_robusta|ESO08179.1
3_5: H_robusta|ESO08129.1
3_6: H_robusta|ESO13052.1
3_7: H_robusta|ESO09280.1
3_8: H_robusta|ESO09736.1
3_9: H_robusta|ESO02199.1
3_10: H_robusta|ESN90052.1
3_11: H_robusta|ESN90476.1
3_12: H_robusta|ESO10634.1
3_13: H_robusta|ESO10298.1
3_14: H_robusta|ESN95204.1
3_15: H_robusta|ESO05119.1
3_16: H_robusta|ESN96911.1
3_17: H_robusta|ESO01626.1
3_18: H_robusta|ESO00575.1
3_19: H_robusta|ESN96167.1
3_20: H_robusta|ESO04933.1
3_21: H_robusta|ESO00697.1
3_22: H_robusta|ESN99635.1
3_23: H_robusta|ESO10083.1
3_24: H_robusta|ESN93667.1
3_25: H_robusta|ESN91550.1
3_26: H_robusta|ESO13187.1
3_27: H_robusta|ESN98754.1
3_28: H_robusta|ESO00076.1
3_29: H_robusta|ESN99728.1
3_30: H_robusta|ESN98670.1
3_31: H_robusta|ESO03583.1
3_32: H_robusta|ESO10888.1
3_33: H_robusta|ESN91162.1
3_34: H_robusta|ESO08731.1
3_35: H_robusta|ESO06944.1
3_36: H_robusta|ESO09558.1
3_37: H_robusta|ESN94151.1
3_38: H_robusta|ESN99626.1
3_39: H_robusta|ESO02346.1
3_40: H_robusta|ESN92353.1
3_41: H_robusta|ESN90952.1
3_42: H_robusta|ESN94328.1
3_43: H_robusta|ESO10101.1
3_44: H_robusta|ESO01061.1
3_45: H_robusta|ESN96928.1
3_46: H_robusta|ESN99588.1
3_47: H_robusta|ESO02510.1
3_48: H_robusta|ESO13213.1
3_49: H_robusta|ESN90079.1
3_50: H_robusta|ESN90515.1
3_51: H_robusta|ESN90659.1
3_52: H_robusta|ESN91032.1
3_53: H_robusta|ESN91275.1
3_54: H_robusta|ESN91798.1
3_55: H_robusta|ESN91818.1
3_56: H_robusta|ESN92120.1
3_57: H_robusta|ESN92319.1
3_58: H_robusta|ESN92332.1
3_59: H_robusta|ESN92416.1
3_60: H_robusta|ESN93373.1
3_61: H_robusta|ESN93391.1
3_62: H_robusta|ESN95322.1
3_63: H_robusta|ESN95342.1
3_64: H_robusta|ESN95433.1
3_65: H_robusta|ESN95692.1
3_66: H_robusta|ESN95743.1
3_67: H_robusta|ESN95933.1
3_68: H_robusta|ESN96207.1
3_69: H_robusta|ESN96348.1
3_70: H_robusta|ESN96908.1
3_71: H_robusta|ESN97461.1
3_72: H_robusta|ESN97966.1
3_73: H_robusta|ESN98227.1
3_74: H_robusta|ESN98605.1
3_75: H_robusta|ESN98759.1
3_76: H_robusta|ESN99024.1
3_77: H_robusta|ESN99676.1
3_78: H_robusta|ESO00547.1
3_79: H_robusta|ESO00596.1
3_80: H_robusta|ESO00744.1
3_81: H_robusta|ESO01131.1
3_82: H_robusta|ESO02161.1
3_83: H_robusta|ESO02727.1
3_84: H_robusta|ESO03710.1
3_85: H_robusta|ESO04681.1
3_86: H_robusta|ESO04726.1
3_87: H_robusta|ESO05235.1
3_88: H_robusta|ESO05937.1
3_89: H_robusta|ESO05939.1
3_90: H_robusta|ESO06127.1
3_91: H_robusta|ESO06213.1
3_92: H_robusta|ESO06313.1
